Timestamp,TotalContado,DetalleConteo
2025-09-18 19:52:36,467000.0,"$50,000: 3, $20,000: 5, $10,000: 8, $5,000: 7, $2,000: 29, Monedas: $44,000.00"
2025-09-18 21:18:56,485500.0,"$50,000: 3, $20,000: 5, $10,000: 10, $5,000: 7, $2,000: 29, Monedas: $42,500.00"
2025-09-19 19:49:57,310500.0,"$20,000: 6, $10,000: 5, $5,000: 6, $2,000: 34, Monedas: $42,500.00"
2025-09-19 19:57:02,313500.0,"$20,000: 6, $10,000: 5, $5,000: 7, $2,000: 33, Monedas: $42,500.00"
2025-09-19 21:35:18,419500.0,"$50,000: 1, $20,000: 6, $10,000: 10, $5,000: 7, $2,000: 36, Monedas: $42,500.00"
2025-09-19 21:36:35,421500.0,"$50,000: 1, $20,000: 6, $10,000: 10, $5,000: 7, $2,000: 37, Monedas: $42,500.00"
